,nzeros_p,nzeros_s,nzeros_p_denoised,nzeros_s_denoised,mean_p,mean_p_denoised,mean_s_denoised,std_p,std_s,std_p_denoised,std_s_denoised
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,440,52.220054626464844,30.0,718.0,40.808082580566406,41.80561828613281,52.40773010253906,7.075679779052734,1.4606040716171265,6.982801914215088,1.6996217966079712
2,326,35.79279327392578,130.0,417.0,24.254776000976562,24.234094619750977,35.687442779541016,5.581261157989502,2.841186285018921,5.178917407989502,3.1682164669036865
3,1774,51.451988220214844,736.0,2781.0,49.00801467895508,45.12339782714844,50.858238220214844,9.846817016601562,3.4379992485046387,12.590879440307617,6.277030944824219
4,1080,35.57668685913086,452.0,1518.0,27.80162239074707,28.472782135009766,33.87920379638672,8.258556365966797,1.3976877927780151,10.419449806213379,7.290250301361084
5,292,22.293880462646484,89.0,139.0,17.35033416748047,16.682147979736328,22.0482177734375,4.127503395080566,1.4028804302215576,6.42888069152832,1.5514426231384277
6,1756,32.52766799926758,1156.0,2322.0,27.4771671295166,27.24407386779785,32.012447357177734,6.851588249206543,2.1001954078674316,10.10205364227295,3.641643524169922
7,2522,27.312646865844727,2242.0,4568.0,25.85393524169922,28.023574829101562,28.598323822021484,6.522988319396973,3.2711541652679443,13.495098114013672,9.213675498962402
8,4177,46.742000579833984,3707.0,5613.0,44.48781204223633,35.4307746887207,32.637596130371094,16.705766677856445,15.35651683807373,19.92110824584961,18.98360252380371
9,1861,21.040796279907227,983.0,2368.0,20.462482452392578,20.4299259185791,20.4434757232666,6.572371006011963,2.3356246948242188,10.85380744934082,5.85176944732666
10,2768,42.75288009643555,1568.0,3746.0,39.076168060302734,35.665401458740234,41.14872360229492,8.5413236618042,2.735775947570801,13.80313491821289,8.602498054504395
11,3757,43.22966003417969,2468.0,5306.0,44.924015045166016,44.681907653808594,41.125877380371094,14.943355560302734,20.866697311401367,16.27964973449707,20.69396209716797
12,330,15.792661666870117,15.0,81.0,7.3506999015808105,7.1271162033081055,15.830984115600586,5.368140697479248,1.8931635618209839,4.4154510498046875,1.9532021284103394
13,520,53.46007537841797,90.0,413.0,45.33280563354492,45.26480484008789,53.258277893066406,5.880195617675781,1.322457194328308,5.186722278594971,1.0156631469726562
14,1038,45.95468521118164,493.0,1448.0,32.4445686340332,33.51789093017578,45.192115783691406,7.585065841674805,1.5494723320007324,9.368602752685547,4.624298095703125
15,4825,31.183555603027344,2670.0,5317.0,26.876972198486328,33.443870544433594,31.17098045349121,16.804227828979492,15.862994194030762,18.996061325073242,21.079551696777344
16,1808,38.005950927734375,802.0,1937.0,34.30454635620117,34.0665283203125,37.49552536010742,7.930885314941406,2.322409152984619,11.497702598571777,9.235355377197266
17,525,23.626140594482422,60.0,122.0,16.186471939086914,16.650781631469727,23.36756706237793,4.387871265411377,1.384142279624939,5.3321638107299805,1.4216641187667847
18,1931,54.35981369018555,660.0,4833.0,46.22578430175781,47.19072341918945,50.18025588989258,11.20070743560791,7.386107921600342,9.826258659362793,13.333827018737793
