time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-12-31T23:43:24.860Z,59.4709,-153.3633,107.2,2.1,ml,,,,0.47,ak,ak023gs13wu4,2024-03-02T21:39:30.040Z,"54 km SE of Pedro Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-31T22:00:20.530Z,60.051,-153.094166666667,-0.99,-0.7,ml,4,227,,0.04,av,av92169981,2024-01-02T03:47:11.890Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.4,1.76,0.153232053174928,3,reviewed,av,av
2023-12-31T19:00:31.058Z,58.9312,-152.8381,62.3,2,ml,,,,0.54,ak,ak023grygz4m,2024-01-21T02:22:46.378Z,"70 km SW of Nanwalek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-31T18:58:00.357Z,60.2457,-152.5169,100,1.9,ml,,,,0.48,ak,ak023gry7woz,2024-01-21T02:22:51.412Z,"51 km WNW of Ninilchik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-31T17:37:00.873Z,60.2156,-151.1861,53.8,1.5,ml,,,,0.37,ak,ak023grxhz3j,2024-01-21T02:22:45.934Z,"11 km E of Clam Gulch, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-12-31T17:23:18.119Z,60.4187,-152.4183,91.6,1.9,ml,,,,0.58,ak,ak023grxf0eb,2024-01-21T02:22:50.813Z,"58 km NW of Ninilchik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-31T14:43:18.148Z,59.9011,-152.8819,95.1,1.8,ml,,,,0.35,ak,ak023grvqzwm,2024-01-21T02:22:49.598Z,"60 km WNW of Anchor Point, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-12-31T12:48:05.002Z,59.0021,-154.4624,120.8,2.1,ml,,,,0.41,ak,ak023grul674,2024-01-21T02:22:43.222Z,"51 km SSE of Kokhanok, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-31T10:50:01.692Z,59.8819,-152.7849,86.7,2.5,ml,,,,0.64,ak,ak023grteq5z,2024-03-02T21:39:34.040Z,"54 km WNW of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-31T10:22:46.798Z,60.0417,-150.9438,58.6,2.6,ml,,,,0.9,ak,ak023grt8tmp,2024-03-02T21:39:34.040Z,"20 km N of Fox River, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-31T06:56:49.991Z,57.2797,-153.8782,19.4,1.8,ml,,,,0.68,ak,ak023grr2dtz,2024-01-20T18:29:04.308Z,"29 km SSE of Larsen Bay, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2023-12-31T06:49:13.229Z,60.5852,-151.1541,56,1.4,ml,,,,0.43,ak,ak023grr0oac,2024-01-20T18:28:56.076Z,"6 km ENE of Kenai, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-31T06:18:16.774Z,60.9056,-152.5083,114.4,2,ml,,,,0.45,ak,ak023grqu621,2024-01-20T18:28:55.802Z,"70 km WNW of Nikiski, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-31T05:17:39.335Z,59.7697,-152.9492,95.5,1.7,ml,,,,0.4,ak,ak023grq8kh9,2024-01-20T18:29:03.282Z,"62 km W of Anchor Point, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-31T04:53:19.350Z,58.283,-154.987666666667,2.72,-0.24,ml,6,133,,0.09,av,av92169381,2024-01-02T00:38:38.720Z,"85 km NNW of Karluk, Alaska",earthquake,0.29,0.52,0.300807177730483,6,reviewed,av,av
2023-12-31T03:40:32.492Z,60.3703,-151.7222,66.7,1.4,ml,,,,0.41,ak,ak023grp6m7l,2024-01-20T18:29:01.887Z,"22 km W of Cohoe, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-12-31T03:10:00.460Z,59.5725,-153.6118,115.8,1.8,ml,,,,0.43,ak,ak023grp048w,2024-01-20T18:28:53.556Z,"36 km SE of Pedro Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-31T02:11:57.673Z,59.8712,-151.5468,55.1,1.5,ml,,,,0.55,ak,ak023grof0p1,2024-01-20T18:28:52.718Z,"7 km NNE of Nikolaevsk, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-31T01:28:31.622Z,59.7714,-153.4417,122.2,2.1,ml,,,,0.47,ak,ak023grnx6bc,2024-01-20T18:28:52.440Z,"37 km E of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-31T00:38:39.895Z,59.4634,-152.3976,85.5,1.8,ml,,,,0.33,ak,ak023grndwj9,2024-01-20T18:29:00.436Z,"29 km WNW of Nanwalek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-31T00:19:05.149Z,60.9655,-151.8579,76.4,1.4,ml,,,,0.41,ak,ak023grn9r8k,2024-01-20T18:28:50.858Z,"40 km WSW of Tyonek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
