time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-12-31T00:12:16.672Z,60.0568,-152.2504,72.4,1.3,ml,,,,0.27,ak,ak023grn8a4j,2024-01-20T18:29:00.236Z,"31 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-30T23:58:04.064Z,59.4926,-152.5977,74.3,1.4,ml,,,,0.41,ak,ak023gqdnqie,2024-01-19T09:18:47.533Z,"41 km WNW of Nanwalek, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-12-30T22:36:05.065Z,59.8152,-153.4729,132.6,3.4,ml,,,,0.58,ak,ak023gqcxl3z,2024-03-02T21:39:34.040Z,"35 km E of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-30T22:24:29.747Z,60.7654,-152.2674,95.6,1.5,ml,,,,0.41,ak,ak023gqcv2ji,2024-01-19T09:18:46.956Z,"54 km W of Nikiski, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-30T21:42:54.017Z,59.9605,-151.8942,62.5,1.1,ml,,,,0.33,ak,ak023gqcdjp5,2024-01-19T09:18:46.748Z,"9 km W of Happy Valley, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-12-30T21:31:30.355Z,60.4995,-151.1005,53.7,1.3,ml,,,,0.33,ak,ak023gqcb4z3,2024-01-19T09:18:43.687Z,"2 km WNW of Soldotna, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-12-30T20:37:07.295Z,59.5766,-153.0548,94.3,1.6,ml,,,,0.33,ak,ak023gqbqxvw,2024-01-19T09:18:42.560Z,"63 km ESE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T19:35:57.070Z,59.9649,-151.809,58.2,2,ml,,,,0.74,ak,ak023gqb56o7,2024-01-19T09:18:42.304Z,"4 km WNW of Happy Valley, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T18:45:48.110Z,60.5548333333333,-152.72,5.49,-0.49,ml,5,146,,0.06,av,av91126148,2023-12-31T06:01:41.480Z,"77 km W of Salamatof, Alaska",earthquake,0.37,0.88,0.0900865558956688,5,reviewed,av,av
2023-12-30T18:45:48.090Z,60.5555,-152.721166666667,5.55,-0.47,ml,5,144,,0.06,av,av91126143,2023-12-31T05:54:22.400Z,"77 km W of Salamatof, Alaska",earthquake,0.37,0.88,0.213309690617717,5,reviewed,av,av
2023-12-30T17:52:22.860Z,60.5118333333333,-152.830833333333,4.37,0.35,ml,4,173,,0.06,av,av92169056,2023-12-31T05:47:50.820Z,"82 km NW of Ninilchik, Alaska",earthquake,0.42,1.31,0.26337628046843,4,reviewed,av,av
2023-12-30T16:14:15.936Z,60.9387,-150.6987,45.5,1.9,ml,,,,0.58,ak,ak023gq98an9,2024-01-19T09:18:40.017Z,"1 km NNW of Point Possession, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-30T13:23:42.330Z,60.0533333333333,-153.081333333333,0.62,-0.81,ml,5,143,,0.05,av,av92168906,2023-12-31T04:59:57.870Z,"64 km ENE of Pedro Bay, Alaska",earthquake,0.58,0.38,0.302371534742257,5,reviewed,av,av
2023-12-30T12:15:33.291Z,59.4866,-151.8781,59.7,1.3,ml,,,,0.37,ak,ak023gq6utbl,2024-01-19T09:18:45.323Z,"10 km WNW of Seldovia, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-30T12:13:26.089Z,60.1634,-152.4645,93,2.2,ml,,,,0.56,ak,ak023gq6ud9m,2024-01-19T09:18:37.986Z,"46 km WNW of Ninilchik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T11:36:48.451Z,60.0498,-152.2586,67.7,1.5,ml,,,,0.55,ak,ak023gq6dwzn,2024-01-19T19:38:26.427Z,"31 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-30T11:13:06.174Z,60.3306,-151.5349,65.6,1.1,ml,,,,0.49,ak,ak023gq68w6x,2024-01-19T19:38:32.913Z,"13 km WSW of Cohoe, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-30T10:07:11.252Z,60.642,-151.0234,60.7,1.2,ml,,,,0.45,ak,ak023gq5m6ol,2024-01-19T19:38:32.519Z,"12 km NNE of Ridgeway, Alaska",earthquake,,1,,,reviewed,ak,ak
2023-12-30T08:57:06.496Z,59.73,-152.7753,81.3,1.4,ml,,,,0.37,ak,ak023gq4q0vl,2024-01-19T19:38:24.894Z,"53 km W of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-30T08:31:34.761Z,60.2506,-151.972,67.4,1.4,ml,,,,0.51,ak,ak023gq4kidd,2024-01-19T19:38:23.786Z,"27 km NW of Ninilchik, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-12-30T08:00:46.694Z,59.613,-152.2066,74.7,1.8,ml,,,,0.57,ak,ak023gq4dw47,2024-01-19T19:38:23.539Z,"27 km SW of Anchor Point, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-30T07:37:14.790Z,59.5296,-153.0291,85.1,1.6,ml,,,,0.59,ak,ak023gq40bmf,2024-01-19T19:38:31.915Z,"65 km WNW of Nanwalek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-30T07:27:34.955Z,60.8926,-151.6023,76.2,2.2,ml,,,,0.7,ak,ak023gq3y808,2024-01-19T19:38:23.237Z,"28 km NW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T06:20:27.365Z,60.1692,-152.3255,95.4,1.5,ml,,,,0.58,ak,ak023gq3b9tc,2024-01-19T19:38:31.305Z,"38 km WNW of Ninilchik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T05:17:17.615Z,60.0718,-150.4775,63.2,1.4,ml,,,,0.43,ak,ak023gq2p6b5,2024-01-19T19:38:30.506Z,"35 km NE of Fox River, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-12-30T03:51:39.045Z,58.2769,-150.9086,22.6,2.3,ml,,,,0.79,ak,ak023gq1pncr,2024-01-19T22:27:58.034Z,"101 km ENE of Ouzinkie, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2023-12-30T03:35:55.941Z,60.4857,-151.8798,78,1.4,ml,,,,0.44,ak,ak023gq1m8y2,2024-01-19T19:38:29.495Z,"33 km WNW of Kalifornsky, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T03:13:37.847Z,59.5779,-151.7136,53.7,1.3,ml,,,,0.3,ak,ak023gq1hhsp,2024-01-19T22:27:59.757Z,"11 km NNW of Seldovia Village, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-30T02:46:50.297Z,60.2373,-153.0441,137.6,1.8,ml,,,,0.36,ak,ak023gq135s5,2024-01-19T19:38:28.886Z,"70 km E of Port Alsworth, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-30T02:36:23.583Z,59.323,-152.9391,66.8,1.8,ml,,,,0.47,ak,ak023gq10yk6,2024-01-19T19:38:28.621Z,"58 km W of Nanwalek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-30T02:16:11.788Z,59.2201,-152.115,60.8,1.5,ml,,,,0.6,ak,ak023gq0wnbu,2024-01-19T19:38:28.415Z,"18 km SW of Nanwalek, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-12-30T01:52:06.070Z,60.0491666666667,-153.07,1.06,-0.43,ml,5,120,,0.09,av,av92168541,2023-12-31T02:51:18.060Z,"64 km ENE of Pedro Bay, Alaska",earthquake,1.41,0.74,0.292278682482243,5,reviewed,av,av
2023-12-30T01:45:20.310Z,60.0496666666667,-153.057333333333,1.7,-0.51,ml,5,171,,0.05,av,av92168526,2023-12-31T02:54:37.960Z,"65 km ENE of Pedro Bay, Alaska",earthquake,0.48,0.56,0.220842275484763,5,reviewed,av,av
2023-12-30T01:07:06.644Z,59.1434,-152.5176,73.9,1.6,ml,,,,0.63,ak,ak023gq099vs,2024-01-19T19:38:27.758Z,"41 km SW of Nanwalek, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-30T00:16:00.040Z,60.0178333333333,-153.104666666667,-0.08,-0.82,ml,5,129,,0.08,av,av92168506,2023-12-31T02:48:31.370Z,"61 km ENE of Pedro Bay, Alaska",earthquake,0.32,2.72,0.193873246918444,5,reviewed,av,av
2023-12-30T00:01:15.094Z,60.4836,-152.6771,112.8,1.6,ml,,,,0.79,ak,ak023gpzmkmt,2024-01-19T19:38:26.946Z,"73 km NW of Ninilchik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-29T23:57:29.990Z,60.0493333333333,-153.058166666667,1.82,-0.27,ml,5,168,,0.09,av,av92168481,2023-12-30T02:43:49.390Z,"65 km ENE of Pedro Bay, Alaska",earthquake,0.62,0.83,0.309730566652228,5,reviewed,av,av
2023-12-29T23:11:16.079Z,60.4783,-151.9684,75.8,1.4,ml,,,,0.29,ak,ak023gopucaf,2024-01-17T23:07:21.231Z,"37 km W of Kalifornsky, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-29T23:04:05.539Z,60.1468,-151.9325,69,1.2,ml,,,,0.32,ak,ak023gopstgp,2024-01-17T23:07:21.014Z,"18 km NW of Ninilchik, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-12-29T22:24:16.020Z,58.2981666666667,-154.987833333333,2.84,-0.09,ml,6,142,,0.09,av,av91126063,2023-12-30T02:14:23.170Z,"87 km NNW of Karluk, Alaska",earthquake,0.45,0.68,0.247367839382312,6,reviewed,av,av
2023-12-29T22:17:38.326Z,59.1704,-152.2068,55.4,1.4,ml,,,,0.22,ak,ak023gopa8p4,2024-01-17T23:07:20.598Z,"26 km SW of Nanwalek, Alaska",earthquake,,1,,,reviewed,ak,ak
2023-12-29T21:33:45.950Z,60.0393333333333,-153.068,-2.2,-0.68,ml,5,126,,0.1,av,av92168411,2023-12-30T02:03:09.470Z,"64 km ENE of Pedro Bay, Alaska",earthquake,0.27,2.56,0.525962881604967,5,reviewed,av,av
2023-12-29T20:25:33.508Z,60.0442,-150.4392,48.3,1.6,ml,,,,0.45,ak,ak023goo52qx,2024-01-18T18:41:23.131Z,"35 km NE of Fox River, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T20:07:59.347Z,60.0734,-153.4354,162.1,2,ml,,,,0.44,ak,ak023goo19xw,2024-01-18T18:41:24.206Z,"49 km NE of Pedro Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T19:33:04.056Z,60.0911,-152.7311,86.5,1.6,ml,,,,0.38,ak,ak023gonlan1,2024-01-17T23:07:15.637Z,"57 km WNW of Happy Valley, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-29T19:10:57.534Z,60.622,-150.3639,40.8,2,ml,,,,0.64,ak,ak023gonghau,2024-01-17T23:07:15.148Z,"23 km ENE of Sterling, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-29T19:05:07.140Z,58.4825,-154.914166666667,3.84,0.37,ml,11,100,,0.16,av,av92168311,2024-01-17T23:06:19.715Z,"104 km ESE of King Salmon, Alaska",earthquake,0.32,1.75,0.181175066279715,11,reviewed,av,av
2023-12-29T17:27:14.663Z,60.0945,-151.4047,64.9,1.3,ml,,,,0.37,ak,ak023gomd600,2024-01-17T23:07:14.145Z,"15 km S of Clam Gulch, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T16:27:15.950Z,58.3416666666667,-154.710666666667,5.04,1.06,ml,14,185,,0.22,av,av92168241,2024-01-17T23:06:10.779Z,"87 km N of Karluk, Alaska",earthquake,0.6,1.45,0.202999243306485,14,reviewed,av,av
2023-12-29T16:24:49.380Z,58.3305,-154.7535,1.55,-0.04,ml,4,249,,0.09,av,av91126028,2023-12-30T00:34:36.830Z,"86 km NNW of Karluk, Alaska",earthquake,0.77,0.92,0.161382904238363,4,reviewed,av,av
2023-12-29T16:05:58.610Z,60.0286666666667,-153.121,-0.4,-0.35,ml,4,210,,0.03,av,av92168221,2023-12-30T00:31:00.580Z,"61 km ENE of Pedro Bay, Alaska",earthquake,0.35,1.84,0.203922714546407,4,reviewed,av,av
2023-12-29T14:59:45.318Z,60.0598,-152.7762,108.9,1.8,ml,,,,0.39,ak,ak023gokrsfc,2024-01-17T23:07:12.435Z,"59 km WNW of Happy Valley, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-29T13:32:03.678Z,59.6154,-153.5211,115.5,1.7,ml,,,,0.29,ak,ak023gok0hbj,2024-01-17T23:07:18.722Z,"38 km ESE of Pedro Bay, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-29T12:45:16.673Z,57.3736,-153.6809,2.9,2.4,ml,,,,0.65,ak,ak023gojhvqx,2024-01-18T18:41:22.478Z,"25 km SE of Larsen Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T12:22:36.649Z,60.9513,-150.5971,10,1.1,ml,,,,0.68,ak,ak023gojcz3k,2024-01-17T23:07:18.299Z,"5 km ENE of Point Possession, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T12:15:27.930Z,60.0228333333333,-153.082333333333,0.79,-0.93,ml,5,104,,0.31,av,av92168061,2023-12-29T23:06:55.050Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.88,3.69,0.243752725579877,5,reviewed,av,av
2023-12-29T12:03:26.440Z,60.2425,-151.273,58.9,1.4,ml,,,,0.48,ak,ak023goj8vop,2024-01-17T23:07:10.774Z,"6 km E of Clam Gulch, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-29T11:34:45.066Z,59.4285,-152.0666,55.5,1.4,ml,,,,0.4,ak,ak023goiu4qi,2024-01-18T23:43:54.099Z,"11 km NW of Nanwalek, Alaska",earthquake,,1,,,reviewed,ak,ak
2023-12-29T11:22:02.633Z,60.9532,-150.5259,52,1.6,ml,,,,0.4,ak,ak023goirgtn,2024-01-18T23:43:48.287Z,"9 km ENE of Point Possession, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-29T10:39:16.594Z,60.9276,-151.9936,96.2,2.1,ml,,,,0.55,ak,ak023goi9pgx,2024-01-18T23:43:47.990Z,"46 km NW of Nikiski, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-29T08:37:45.697Z,60.3748,-152.5153,87.4,1.5,ml,,,,0.22,ak,ak023goh2h49,2024-01-18T23:43:53.282Z,"59 km NW of Ninilchik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-29T08:23:54.860Z,60.0396666666667,-153.096,0.18,-0.41,ml,5,110,,0.08,av,av92167961,2023-12-29T22:36:52.230Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.28,1.25,0.494966769369394,4,reviewed,av,av
2023-12-29T07:05:29.082Z,59.7413,-153.0086,103.8,1.6,ml,,,,0.25,ak,ak023goga5bg,2024-01-18T23:43:52.484Z,"61 km E of Pedro Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-29T06:00:24.700Z,60.0398333333333,-153.088,-1.31,-0.25,ml,5,102,,0.08,av,av92167861,2023-12-29T21:21:42.740Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.35,4.14,0.187601666132423,4,reviewed,av,av
2023-12-29T05:25:30.980Z,60.7354,-152.0127,82.2,1.7,ml,,,,0.47,ak,ak023gof7kki,2024-01-18T23:43:45.556Z,"39 km W of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-29T05:22:12.711Z,60.3014,-150.9611,52.7,1.5,ml,,,,0.31,ak,ak023gof6w0x,2024-01-18T23:43:45.327Z,"17 km ESE of Kasilof, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-29T05:19:48.790Z,60.0441666666667,-153.094666666667,-0.81,-0.7,ml,6,105,,0.08,av,av92167841,2023-12-29T21:14:30.100Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.19,1.19,0.261244388085607,6,reviewed,av,av
2023-12-29T05:06:38.634Z,60.5195,-152.6489,102.2,1.5,ml,,,,0.21,ak,ak023gof3ik7,2024-01-18T23:43:51.856Z,"73 km W of Salamatof, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-29T04:49:48.747Z,58.9559,-154.495,121.4,1.9,ml,,,,0.44,ak,ak023goerbh0,2024-01-18T23:43:44.866Z,"56 km SSE of Kokhanok, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-29T02:13:56.903Z,59.9594,-153.0764,123.7,3.5,ml,,,,0.68,ak,ak023godcr3i,2024-03-02T21:39:33.040Z,"60 km ENE of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-29T00:09:04.702Z,57.8531,-153.7367,40.6,2.7,ml,,,,0.61,ak,ak023goc4x00,2024-03-02T21:39:33.040Z,"37 km NNE of Larsen Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-28T23:35:37.610Z,59.3695,-153.1553,82.4,1.5,ml,,,,0.25,ak,ak023gn2g6n5,2024-01-17T16:56:43.537Z,"70 km W of Nanwalek, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T23:08:21.562Z,59.725,-152.641,99.1,1.6,ml,,,,0.34,ak,ak023gn2aczg,2024-01-17T16:56:40.299Z,"45 km W of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T22:14:46.710Z,60.0415,-153.082666666667,-2.01,-0.93,ml,5,98,,0.08,av,av92167321,2023-12-29T01:21:21.780Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.23,3.52,0.345891924530818,5,reviewed,av,av
2023-12-28T21:42:04.928Z,60.2928,-152.214,86.6,1.8,ml,,,,0.45,ak,ak023gn1aqw6,2024-01-17T16:56:39.202Z,"40 km NW of Ninilchik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T20:54:05.637Z,60.2385,-150.1392,33.5,1.3,ml,,,,0.18,ak,ak023gn0rvu9,2024-01-17T16:56:37.960Z,"32 km SSW of Cooper Landing, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-28T20:41:11.120Z,60.0528333333333,-153.077,0.62,-0.84,ml,4,134,,0.05,av,av92167231,2023-12-29T00:59:23.060Z,"64 km ENE of Pedro Bay, Alaska",earthquake,0.71,0.42,0.388506453747825,4,reviewed,av,av
2023-12-28T17:57:14.481Z,59.3132,-153.2982,111.4,1.7,ml,,,,0.33,ak,ak023gmz08yq,2024-01-17T16:56:35.834Z,"69 km SE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T17:47:28.350Z,60.495,-152.6705,6.72,-0.67,ml,6,157,,0.02,av,av91125958,2023-12-29T00:14:23.980Z,"74 km NW of Ninilchik, Alaska",earthquake,0.32,0.52,0.287350995859104,6,reviewed,av,av
2023-12-28T16:36:36.285Z,59.1451,-153.7086,92.2,1.7,ml,,,,0.35,ak,ak023gmyad0r,2024-01-17T16:56:35.369Z,"64 km SE of Pope-Vannoy Landing, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-28T16:34:44.915Z,60.5881,-150.7108,44.9,1.4,ml,,,,0.47,ak,ak023gmy9y7g,2024-01-17T16:56:35.163Z,"6 km NNE of Sterling, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-28T16:02:08.384Z,57.0531,-154.7664,9.7,1.9,ml,,,,0.63,ak,ak023gmy30iu,2024-01-17T16:56:42.184Z,"38 km WNW of Akhiok, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2023-12-28T14:18:18.192Z,59.2181,-152.4145,62.4,1.8,ml,,,,0.35,ak,ak023gmwzlh9,2024-01-17T16:56:32.566Z,"32 km WSW of Nanwalek, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T13:52:00.432Z,59.4182,-152.6311,74.6,1.5,ml,,,,0.2,ak,ak023gmwlewb,2024-01-17T16:56:40.968Z,"40 km W of Nanwalek, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-28T13:44:42.446Z,60.0983,-152.4501,88.1,2,ml,,,,0.54,ak,ak023gmwjsbk,2024-01-17T16:56:31.523Z,"43 km WNW of Happy Valley, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-28T13:25:52.515Z,60.2678,-152.6526,109,1.9,ml,,,,0.44,ak,ak023gmwfqiu,2024-01-17T16:56:31.269Z,"59 km WNW of Ninilchik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-28T12:26:56.012Z,58.4501,-154.3507,2.2,0.9,ml,,,,0.26,ak,ak023gmvuixe,2024-01-17T16:56:29.826Z,"95 km WNW of Aleneva, Alaska",earthquake,,1,,,reviewed,ak,ak
2023-12-28T09:15:11.743Z,60.305,-152.5982,106.1,1.5,ml,,,,0.78,ak,ak023gmtzruu,2024-01-17T21:52:43.571Z,"58 km WNW of Ninilchik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T08:15:23.768Z,59.6074,-153.1336,116.4,1.6,ml,,,,0.39,ak,ak023gmted6g,2024-01-17T21:52:42.946Z,"58 km ESE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-12-28T08:02:33.721Z,59.8654,-153.3953,133.7,1.7,ml,,,,0.47,ak,ak023gmtbln0,2024-01-17T21:52:42.723Z,"40 km ENE of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-12-28T07:42:35.298Z,59.2939,-152.1856,54.8,1.7,ml,,,,0.62,ak,ak023gmsyqsb,2024-01-17T21:52:34.474Z,"16 km WSW of Nanwalek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-12-28T06:15:40.412Z,60.1858,-152.3489,78.5,1.4,ml,,,,0.35,ak,ak023gms7j95,2024-01-17T21:52:41.288Z,"40 km WNW of Ninilchik, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-12-28T04:45:32.616Z,60.0041,-151.6414,49.2,2.1,ml,,,,0.69,ak,ak023gmr72wb,2024-01-17T21:52:32.308Z,"5 km SSE of Ninilchik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-12-28T04:39:19.958Z,59.7732,-152.2903,70.5,1.6,ml,,,,0.54,ak,ak023gmr5rnf,2024-01-17T21:52:39.785Z,"25 km W of Anchor Point, Alaska",earthquake,,0.7,,,reviewed,ak,ak
